Appointed by,Date appointed,Division,End of Term,Name,Party,Region
Royal Proclamation,1867-10-23,Ontario,1867-12-29,Adam Blair,Liberal,ON
Royal Proclamation,1867-10-23,Ontario,1873-12-10,Oliver Blake,Liberal,ON
Trudeau,1977-04-05,York-Caboto,1998-12-10,Peter Bosa,Liberal,ON
Thompson,1892-12-05,Hastings,1917-12-10,Mackenzie Bowell,Conservative,ON
St. Laurent,1953-06-12,Cochrane,1961-09-12,Joseph-Arthur Bradette,Liberal,ON
Mackenzie,1878-08-09,Prescott,1881-08-23,William Henry Brouse,Independent Reformer,ON
Mackenzie,1873-12-16,Lambton,1880-05-09,George Brown,Liberal,ON
Diefenbaker,1957-10-12,Hanover,1962-07-07,William Brunt,Progressive Conservative,ON
Macdonald,1879-02-24,Hamilton,1881-08-12,Harcourt Burland Bull,Conservative,ON
Royal Proclamation,1867-10-23,Ontario,1873-05-10,Asa Allworth Burnham,Conservative,ON
Royal Proclamation,1867-10-23,Cataraqui,1887-02-07,Alexander Campbell,Conservative,ON
Laurier,1907-11-22,Toronto West,1913-01-15,Archibald Campbell,Liberal,ON
King,1943-02-19,Toronto,1964-01-16,Gordon Peter Campbell,Liberal,ON
MacdonaldBowell,1891-04-27,London,1892-02-17,John Carling,Liberal-Conservative,ON
Laurier,1904-09-20,Oxford,1912-09-24,Richard John Cartwright,Liberal,ON
Macdonald,1887-01-12,Windsor,1907-03-08,Charles EusÃ¨be Casgrain,Conservative,ON
Diefenbaker,1958-01-31,Ottawa East,1981-03-06,Lionel Choquette,Progressive Conservative,ON
Royal Proclamation,1867-10-23,Erie,1880-12-15,David Christie,Liberal,ON
Macdonald,1885-02-03,Rideau,1902-05-28,Francis Clemow,Conservative,ON
Laurier,1903-03-12,London,1914-06-08,Thomas Coffey,Liberal,ON
St. Laurent,1953-06-12,Ottawa West,1981-10-31,John Joseph Connolly,Liberal,ON
Borden,1912-10-17,Belleville,1917-04-23,Henry Corby,Conservative,ON
Bennett,1933-12-30,Ottawa East,1943-02-02,Louis CÃ´tÃ©,Conservative,ON
Laurier,1896-11-13,Saugeen,1914-01-16,George Albertus Cox,Liberal,ON
Royal Proclamation,1867-10-23,Ontario,1870-07-04,George Crawford,Conservative,ON
St. Laurent,1955-07-28,Toronto-Spadina,1991-06-11,David Croll,Liberal,ON
Meighen,1921-10-03,Ontario,1921-12-10,Thomas Wilson Crothers,Conservative,ON
Pearson,1966-02-24,York,1996-07-01,Keith Davey,Liberal,ON
King,1942-11-19,Kingston,1967-03-11,Rupert Davies,Liberal,ON
Clark,1979-06-05,Ottawa,1980-01-14,Robert de Cotret,Progressive Conservative,ON
Laurier,1907-11-22,Brockville,1916-06-18,Daniel Derbyshire,Liberal,ON
Mulroney,1993-06-04,Sudbury,1995-07-25,Jean NoÃ«l Desmarais,Progressive Conservative,ON
Royal Proclamation,1867-10-23,Niagara,1884-02-19,Walter Hamilton Dickson,Conservative,ON
Mulroney,1990-08-30,Ontario,2012-06-30,Consiglio Di Nino,Conservative,ON
Abbott,1892-02-23,Lindsay,1907-01-27,John Dobson,Conservative,ON
Borden,1913-05-26,South Bruce,1948-10-20,James J. Donnelly,Conservative,ON
Mulroney,1985-03-19,North York,1998-03-10,Richard Doyle,Progressive Conservative,ON
King,1940-02-15,Peterborough West,1957-02-07,Joseph James Duffus,Liberal,ON
Laurier,1903-03-17,Russell,1921-09-17,William Cameron Edwards,Liberal,ON
King,1940-01-29,Middlesex,1941-12-20,John Elliott,Liberal,ON
King,1940-05-11,Waterloo,1961-07-15,William Daum Euler,Liberal,ON
Mulroney,1990-09-23,Ontario,2009-07-12,Trevor Eyton,Conservative,ON
Bennett,1935-07-20,Peterborough,1956-03-07,Iva Campbell Fallis,Conservative,ON
King,1948-09-10,Algoma,1962-09-27,Thomas Farquhar,Liberal,ON
Abbott,1892-10-01,Ontario,1896-09-22,John Ferguson,Conservative,ON
Harper,2009-08-27,Ontario-South Coast,2013-05-11,Doug Finley,Conservative,ON
ChrÃ©tien,1999-09-02,Ontario,2005-07-15,Isobel Finnerty,Liberal,ON
Borden,1917-07-26,Ontario,1933-12-01,John Fisher,Conservative,ON
Royal Proclamation,1867-10-23,Trent,1894-06-14,Billa Flint,Liberal,ON
St. Laurent,1949-01-25,Carleton,1952-07-06,Gordon Fogo,Liberal,ON
Trudeau,1970-09-07,Nepean,1979-05-29,Eugene Forsey,Liberal,ON
Meighen,1921-09-22,Toronto,1931-12-30,George Foster,Conservative,ON
St. Laurent,1949-06-25,Trenton,1962-10-26,William Fraser,Liberal,ON
Bennett,1933-12-30,Toronto,1938-03-25,Alfred Ernest Fripp,Conservative,ON
Trudeau,1977-04-05,Glen Tay,1994-08-29,Royce Frith,Liberal,ON
Laurier,1903-03-12,Leeds and Grenville,1908-08-26,Francis Theodore Frost,Liberal,ON
Laurier,1900-01-29,Brockville,1905-10-15,George Taylor Fulford,Liberal,ON
ChrÃ©tien,1994-11-23,Ontario (1994.11.23-2001.12.03) Ottawa-Vanier (2001.12.04-2004.10.22),2004-10-22,Jean-Robert Gauthier,Liberal,ON
Macdonald,1880-04-03,Newmarket,1883-04-07,Thomas Nicholson Gibbs,Liberal-Conservative,ON
Laurier,1902-02-11,Lincoln,1914-05-04,William Gibson,Liberal,ON
St. Laurent,1949-09-07,Wellington South,1951-06-01,Robert Gladstone,Liberal,ON
Trudeau,1973-10-05,Rosedale,1987-06-28,John Morrow Godfrey,Liberal,ON
